ID,Date_Time,Year,Month,Mdate,Day,Time,Sensor_ID,Sensor_Name,Hourly_Counts
3450770,12/11/2020 06:00:00 AM,2020,December,11,Friday,6,46,Pelham St (S),24
3450771,12/11/2020 06:00:00 AM,2020,December,11,Friday,6,47,Melbourne Central-Elizabeth St (East),104
3450772,12/11/2020 06:00:00 AM,2020,December,11,Friday,6,48,QVM-Queen St (East),53
3450773,12/11/2020 06:00:00 AM,2020,December,11,Friday,6,49,QVM-Therry St (South),59
3450774,12/11/2020 06:00:00 AM,2020,December,11,Friday,6,50,Faraday St-Lygon St (West),29
3450775,12/11/2020 06:00:00 AM,2020,December,11,Friday,6,51,QVM-Franklin St (North),78
3450776,12/11/2020 06:00:00 AM,2020,December,11,Friday,6,52,Elizabeth St-Lonsdale St (South),25
3450778,12/11/2020 06:00:00 AM,2020,December,11,Friday,6,55,Elizabeth St-La Trobe St (East),313
3450779,12/11/2020 06:00:00 AM,2020,December,11,Friday,6,56,Lonsdale St - Elizabeth St (North),127
3450780,12/11/2020 06:00:00 AM,2020,December,11,Friday,6,57,Bourke St Bridge,93
3450781,12/11/2020 06:00:00 AM,2020,December,11,Friday,6,58,Bourke St - Spencer St (North),170
3450782,12/11/2020 06:00:00 AM,2020,December,11,Friday,6,59,Swanston St - RMIT Building 80,64
3450783,12/11/2020 06:00:00 AM,2020,December,11,Friday,6,61,Swanston St - RMIT Building 14,41
3450784,12/11/2020 06:00:00 AM,2020,December,11,Friday,6,62,La Trobe St (North),41
3450785,12/11/2020 06:00:00 AM,2020,December,11,Friday,6,63,231 Bourke St,40
3450786,12/11/2020 06:00:00 AM,2020,December,11,Friday,6,64,Royal Pde-Grattan St,45
3450787,12/11/2020 06:00:00 AM,2020,December,11,Friday,6,65,Swanston St - City Square,46
3450788,12/11/2020 06:00:00 AM,2020,December,11,Friday,6,66,State Library-New,47
3450789,12/11/2020 06:00:00 AM,2020,December,11,Friday,6,67,Flinders Ln -Degraves St (South),72
3450790,12/11/2020 06:00:00 AM,2020,December,11,Friday,6,68,Flinders Ln -Degraves St (North),58
3450791,12/11/2020 06:00:00 AM,2020,December,11,Friday,6,69,Flinders Ln -Degraves St (Crossing),28
3450793,12/11/2020 06:00:00 AM,2020,December,11,Friday,6,71,Westwood Place,22
3450794,12/11/2020 06:00:00 AM,2020,December,11,Friday,6,73,Bourke St - Spencer St (South),58
3450795,12/11/2020 07:00:00 AM,2020,December,11,Friday,7,4,Town Hall (West),205
